long,lat,id,group,Cod.Dep,Departamento,Tipo,F,M,Casos,rango
-71.48505294,1.10882315,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.48505294,1.10882315,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.48505294,1.10882315,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.50265217,1.10328086,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.50265217,1.10328086,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.50265217,1.10328086,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53551701,1.12408878,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53551701,1.12408878,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53551701,1.12408878,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53162768,1.16025956,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53162768,1.16025956,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53162768,1.16025956,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.5562277,1.15549513,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.5562277,1.15549513,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.5562277,1.15549513,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53998974,1.11455992,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53998974,1.11455992,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53998974,1.11455992,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.58254203,1.12687378,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.58254203,1.12687378,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.58254203,1.12687378,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.57268438,1.09115451,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.57268438,1.09115451,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.57268438,1.09115451,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.58525076,1.04458773,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.58525076,1.04458773,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.58525076,1.04458773,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.61579584,1.03708349,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.61579584,1.03708349,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.61579584,1.03708349,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.66556459,0.97292396,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.66556459,0.97292396,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.66556459,0.97292396,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.68838077,0.97032791,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.68838077,0.97032791,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.68838077,0.97032791,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.71023244,0.99047527,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.71023244,0.99047527,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.71023244,0.99047527,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.74028551,0.98482426,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.74028551,0.98482426,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.74028551,0.98482426,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.76570557,0.9616155,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.76570557,0.9616155,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.76570557,0.9616155,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.77409657,0.90605792,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.77409657,0.90605792,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.77409657,0.90605792,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.04855815,0.6562006,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.04855815,0.6562006,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.04855815,0.6562006,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.08618489,0.65961524,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.08618489,0.65961524,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.08618489,0.65961524,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.07068766,0.66841452,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.07068766,0.66841452,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.07068766,0.66841452,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.07035933,0.69271102,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.07035933,0.69271102,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.07035933,0.69271102,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.10982473,0.70492493,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.10982473,0.70492493,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.10982473,0.70492493,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.12670095,0.74012203,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.12670095,0.74012203,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.12670095,0.74012203,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.14029385,0.71805818,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.14029385,0.71805818,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.14029385,0.71805818,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.16337797,0.73385081,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.16337797,0.73385081,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.16337797,0.73385081,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.16393369,0.71333021,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.16393369,0.71333021,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.16393369,0.71333021,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.19079117,0.72698878,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.19079117,0.72698878,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.19079117,0.72698878,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.20037844,0.70196995,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.20037844,0.70196995,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.20037844,0.70196995,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.22092082,0.70629378,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.22092082,0.70629378,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.22092082,0.70629378,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.2218513,0.74727964,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.2218513,0.74727964,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.2218513,0.74727964,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.24869585,0.7885374,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.24869585,0.7885374,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.24869585,0.7885374,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.27034079,0.79409852,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.27034079,0.79409852,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.27034079,0.79409852,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.26965448,0.7631052,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.26965448,0.7631052,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.26965448,0.7631052,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.31011459,0.80929049,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.31011459,0.80929049,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.31011459,0.80929049,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.28675293,0.8187286,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.28675293,0.8187286,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.28675293,0.8187286,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.30142405,0.8423706,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.30142405,0.8423706,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.30142405,0.8423706,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.28852842,0.87320799,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.28852842,0.87320799,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.28852842,0.87320799,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.32310367,0.87610484,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.32310367,0.87610484,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.32310367,0.87610484,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.31665585,0.85302352,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.31665585,0.85302352,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.31665585,0.85302352,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.32880392,0.84078201,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.32880392,0.84078201,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.32880392,0.84078201,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.34356849,0.8686291,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.34356849,0.8686291,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.34356849,0.8686291,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.33235489,0.87937547,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.33235489,0.87937547,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.33235489,0.87937547,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.34693257,0.90292402,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.34693257,0.90292402,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.34693257,0.90292402,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.33992407,0.92665947,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.33992407,0.92665947,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.33992407,0.92665947,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
